model,rmse,mae,r2
XGBoost,141504.35988013336,68428.77842354846,0.8675491511479266
RandomForest,147957.4053328729,74044.28484257321,0.8551933464749418
Ridge,170557.48150239908,98377.744569841,0.8075771455658056
DecisionTree,182087.44318930255,93139.39404078327,0.7806815846683839
